CustomerID,Lookalike1,SimilarityScore1,Lookalike2,SimilarityScore2,Lookalike3,SimilarityScore3
C0001,C0085,0.9999990504724361,C0042,0.9998215747742084,C0089,0.9997850140987701
C0002,C0157,0.9999942410168485,C0166,0.999875010843091,C0029,0.9998254255985104
C0003,C0111,0.9940081095432594,C0160,0.9904545038572361,C0147,0.9876382719212549
C0004,C0162,0.9999999965087093,C0165,0.9999594720114721,C0090,0.9986409558134951
C0005,C0080,0.9999822355480511,C0167,0.9999750393711484,C0177,0.9999281138035957
C0006,C0079,0.9999656845154901,C0117,0.9956703718685657,C0196,0.9903168212584458
C0007,C0146,0.9999895943808703,C0125,0.9998372825489154,C0061,0.9997162141129127
C0008,C0109,0.9998419065580372,C0136,0.9995449075266115,C0124,0.9988501083510457
C0009,C0015,0.9999998280836607,C0131,0.9999969915843525,C0193,0.9999942852290301
C0010,C0176,0.9977495907269391,C0027,0.9933907927482107,C0030,0.9784025791083272
C0011,C0139,0.9995752579210655,C0100,0.9992186065437542,C0023,0.9981601131570049
C0012,C0101,0.999958735499151,C0156,0.9998710212245943,C0093,0.9998427725809736
C0013,C0067,0.9998962934726959,C0138,0.9998109989494287,C0141,0.9997829345234197
C0014,C0192,0.999999195523505,C0159,0.9999990484005253,C0186,0.999979545291725
C0015,C0009,0.9999998280836607,C0131,0.9999982579939216,C0120,0.9999928702070295
C0016,C0154,0.9993683855686599,C0040,0.9960728766406054,C0026,0.993943060754397
C0017,C0075,0.9999997918900845,C0179,0.999792419915155,C0039,0.9997215280460565
C0018,C0045,0.9999974739628396,C0041,0.9997600993045762,C0068,0.999404067327854
C0019,C0142,0.9998871390943337,C0174,0.9998674238866583,C0055,0.9993745857345483
C0020,C0058,0.9999997942980384,C0193,0.999998649644113,C0198,0.9999983115151304
